TDEP,FACCZ,D4TM,ZACC,ZAC2,DXTM,DXT2,F1B1,F2B1,F3B1,F4B1,F5B1,F6B1,EDD1,EDD2,EDD3,EDD4,EDD5,EDD6,ERD1,ERD2,ERD3,ERD4,ERD5,ERD6
4200.13009765584,1.8336829,4059.0,0.99575824,0.99575824,27699,27700,423,375,304,395,527,483,57.96111,86.77756,163.64484,72.82361,25.424347,35.824596,45.697163,148.55415,223.9676,132.33638,50.327286,20.73835
4200.127597655839,1.8367474,4076.0,0.99575824,0.99575824,27701,27702,423,374,301,398,524,483,57.8667,87.2571,168.6932,71.542534,25.944742,35.878933,42.884014,149.4918,234.68906,125.01408,51.10633,20.750479
4200.125097655839,1.8349597,4092.0,0.99586,0.99586,27703,27704,428,371,296,399,521,484,55.79906,89.06175,177.09845,70.72494,26.586088,35.528656,41.88548,144.47633,253.97398,110.978485,51.720764,25.527782
4200.122597655839,1.840578,4109.0,0.9964703,0.9964703,27705,27706,432,371,296,400,518,486,53.914963,89.341705,177.76274,69.85719,27.259949,34.83967,43.89062,138.02148,270.3968,99.01294,52.719505,37.99186
4200.120097655839,1.8349597,4126.0,0.9968772,0.9968772,27709,27710,440,371,293,400,515,492,50.432625,89.3979,181.62318,69.9946,27.859087,33.287148,52.134804,129.4706,298.81174,79.760735,53.41375,109.02869
4200.117597655839,1.83164,4142.0,0.9963686,0.9963686,27711,27712,452,371,292,400,511,509,45.815025,89.736626,184.93059,70.167114,28.738874,29.156815,51.548553,123.07891,323.27112,75.249,54.00298,179.71268
4200.115097655839,1.8377689,4159.0,0.9963686,0.9963686,27713,27714,465,370,288,399,503,516,41.16955,89.96387,191.92038,70.72494,30.544388,27.721682,50.486378,121.08633,351.22192,72.74917,55.61068,251.31134
4200.11259765584,1.8362366,4184.0,0.9945376,0.9945376,27715,27716,461,371,285,397,499,520,42.47386,89.67999,197.2456,71.976654,31.54899,26.719646,49.3126,116.71067,375.329,72.01306,55.71982,277.8817
4200.110097655839,1.8367474,4209.0,0.99433416,0.99433416,27717,27718,457,373,283,398,496,520,43.87707,88.122856,202.29742,71.2917,32.354282,26.780146,47.899776,112.10707,381.3697,73.57646,57.224632,271.50278
4200.1075976558395,1.8438978,4226.0,0.99433416,0.99433416,27719,27720,454,372,281,399,492,518,44.90301,88.45196,204.92163,70.7601,33.357784,27.295174,48.537827,109.68426,433.72372,73.08534,58.886173,246.50992
4200.105097655839,1.8364921,4242.0,0.99301183,0.99301183,27721,27722,449,374,281,404,488,506,46.91926,87.15008,206.40918,67.858986,34.325645,29.843472,50.847664,108.09898,460.41003,71.2917,60.72491,211.91203
4200.102597655839,1.8331722,4259.0,0.99301183,0.99301183,27723,27724,443,374,282,406,480,497,49.415485,87.310715,203.45541,66.93362,36.543427,32.02529,55.580822,105.92347,445.96808,70.68981,62.05203,211.91203
4200.100097655839,1.840578,4284.0,0.9924015,0.9924015,27727,27728,445,375,283,407,476,493,48.38908,86.6717,201.43756,65.94136,37.909588,33.03919,67.17326,102.968895,401.706,75.22198,65.52382,302.02686
4200.097597655839,1.8449192,4309.0,0.991486,0.991486,27729,27730,447,375,284,408,471,491,47.6748,86.19854,200.30238,65.426094,39.32732,33.63424,67.846985,101.57006,402.84464,78.19845,65.6147,330.13873
4200.095097655839,1.8415995,4326.0,0.991486,0.991486,27731,27732,449,375,286,410,467,486,47.027943,86.46077,194.81314,64.65344,40.563377,34.822567,66.7315,102.2279,386.41537,80.6815,67.07222,312.67682
4200.092597655839,1.8359812,4342.0,0.9936221,0.9936221,27733,27734,448,374,284,410,461,485,47.199764,87.20356,200.30238,64.65344,42.417713,35.2026,67.65312,102.89431,387.46884,81.65379,67.58328,259.96725
4200.090097655839,1.8321507,4359.0,0.9949445,0.9949445,27735,27736,442,372,280,411,453,497,49.501545,89.00596,208.22295,64.01376,45.344147,32.054222,73.57469,102.44907,402.84464,79.82155,68.69557,206.59209
4200.087597655839,1.8347044,4384.0,0.99514794,0.99514794,27739,27740,434,371,281,411,449,520,52.93096,89.736626,205.51407,63.81288,46.70156,26.820635,80.8158,104.48359,458.75912,75.62176,67.48686,125.25015
4200.085097655839,1.8341937,4409.0,0.9945376,0.9945376,27741,27742,430,370,278,404,446,542,54.493843,90.02086,213.21933,67.53702,47.93144,22.529161,82.07651,107.00202,457.28305,75.78285,67.647705,93.17164
4200.082597655839,1.8364921,4426.0,0.9945376,0.9945376,27743,27744,439,367,274,397,443,548,50.938793,92.30119,220.15273,71.68665,49.364788,21.636204,78.6241,107.65071,511.60394,75.82325,66.69396,85.32679
4200.0800976558385,1.8382796,4442.0,0.99301183,0.99301183,27745,27746,452,367,273,388,440,553,45.697163,92.84393,223.9676,77.79898,50.327286,20.73835,73.76572,108.060165,595.1574,77.13862,65.043304,94.60051
4200.077597655839,1.8357259,4459.0,0.9949445,0.9949445,27747,27748,460,364,268,380,438,559,42.884014,95.08023,234.68906,82.92031,51.10633,19.82305,72.89513,109.22334,637.8975,78.979744,62.909657,106.85529
4200.075097655839,1.8357259,4476.0,0.99626684,0.99626684,27751,27752,463,362,261,374,437,567,41.88548,96.631935,253.97398,87.454544,51.720764,18.72464,71.07165,114.41357,790.45374,81.74761,58.573475,94.916954
4200.072597655839,1.8367474,4492.0,0.9955548,0.9955548,27753,27754,457,361,255,370,434,582,43.89062,97.49377,270.3968,90.11207,52.719505,16.643087,67.65312,114.50579,752.77313,83.327415,56.385857,86.89457
4200.070097655839,1.8408333,4509.0,0.9955548,0.9955548,27755,27756,436,359,246,372,433,604,52.134804,99.195114,298.81174,88.7081,53.41375,14.091701,65.926315,116.47744,799.34515,84.06587,54.334953,77.32776
4200.067597655839,1.8375134,4534.0,0.9949445,0.9949445,27757,27758,437,357,239,375,431,624,51.548553,100.74218,323.27112,86.392944,54.00298,12.085415,67.42834,116.47744,948.7555,85.37736,53.23433,66.305466
4200.065097655839,1.8301077,4559.0,0.99565655,0.99565655,27759,27760,440,356,233,387,428,642,50.486378,102.117645,351.22192,78.312614,55.61068,10.5918455,71.214165,117.343376,995.2631,84.66613,51.032864,54.615383
4200.0625976558385,1.8364921,4576.0,0.99565655,0.99565655,27761,27762,443,355,227,391,428,639,49.3126,102.559845,375.329,75.40847,55.71982,10.831104,72.30152,114.96915,852.0598,81.513466,49.19311,44.353924
4200.060097655839,1.8329169,4592.0,0.99372387,0.99372387,27763,27764,446,354,226,392,424,629,47.899776,103.23037,381.3697,74.85329,57.224632,11.629875,70.472275,116.09667,974.7844,73.97062,48.603436,41.560486
4200.057597655839,1.8331722,4609.0,0.9926049,0.9926049,27765,27766,445,353,216,392,421,619,48.537827,104.521126,433.72372,75.249,58.886173,12.538093,69.95175,114.50579,894.9847,65.52307,48.820805,52.53249
4200.055097655839,1.8347044,4626.0,0.9926049,0.9926049,27767,27768,439,352,211,391,417,609,50.847664,105.76579,460.41003,75.60874,60.72491,13.5121355,73.23333,114.22955,961.5939,56.970654,49.15903,81.409904
4200.052597655839,1.8334275,4642.0,0.99372387,0.99372387,27769,27770,428,350,214,392,414,587,55.580822,107.363945,445.96808,74.81395,62.05203,15.983342,78.798546,114.69068,906.4003,52.552036,49.990223,124.48092
4200.050097655839,1.8375134,4659.0,0.99382555,0.99382555,27771,27772,405,347,222,392,408,544,67.17326,110.41185,401.706,74.66934,65.52382,22.294577,82.50552,112.59978,813.0639,52.300926,52.13908,169.55734
4200.047597655839,1.8313845,4684.0,0.99382555,0.99382555,27775,27776,404,345,222,394,408,485,67.846985,112.243904,402.84464,73.855446,65.6147,35.242405,86.21072,114.04615,687.25134,58.831512,57.08902,209.6448
4200.045097655839,1.8339382,4709.0,0.9935204,0.9935204,27777,27778,406,339,225,389,405,407,66.7315,118.91502,386.41537,76.598785,67.07222,66.05849,83.91896,113.22803,640.77356,62.146183,60.010044,222.4651
4200.042597655839,1.8398118,4726.0,0.9935204,0.9935204,27779,27780,404,336,225,384,404,405,67.65312,121.35305,387.46884,80.36253,67.58328,66.86797,82.123955,112.15529,559.98254,65.73496,63.44402,246.42139
4200.0400976558385,1.840578,4742.0,0.9925032,0.9925032,27781,27782,394,333,222,378,402,409,73.57469,125.093254,402.84464,84.61578,68.69557,64.761894,78.14832,110.75618,475.64786,69.22061,66.81957,268.83395
4200.037597655839,1.8390458,4759.0,0.99382555,0.99382555,27783,27784,383,329,212,368,404,417,80.8158,129.66035,458.75912,91.70527,67.48686,60.6896,74.22825,108.72178,441.65186,70.5593,69.605286,281.08395
4200.035097655839,1.8318954,4784.0,0.9955548,0.9955548,27787,27788,381,325,212,360,404,425,82.07651,134.19221,457.28305,98.63434,67.647705,56.733826,71.00061,104.253555,329.90616,67.098885,74.1902,272.97183
4200.032597655839,1.8436424,4809.0,0.9955548,0.9955548,27789,27790,386,320,204,344,406,395,78.6241,140.84464,511.60394,113.777306,66.69396,73.10427,72.74581,103.34343,283.2275,63.279327,76.14065,282.20215
4200.030097655839,1.8421102,4826.0,0.9955548,0.9955548,27791,27792,394,318,194,334,409,373,73.76572,143.694,595.1574,124.097244,65.043304,87.43005,73.95773,100.63466,248.5547,60.45628,77.17582,282.20215
