TDEP,ACC_0_T,RGR_T,TVETM_T,TXDC_T,TXIOUT_T,TXPOUT_T,TXVOUT_T
4199.350097655836,8105,320.0,30.006,404,2.7985,10.060048,3.5948
4199.3250976558365,8058,350.0,30.3394,404,2.7985,10.060048,3.5948
4199.300097655836,8045,273.33334,30.3394,404,2.7985,10.060048,3.5948
4199.275097655836,8061,330.0,30.3394,404,2.7985,10.060048,3.5948
4199.250097655836,8043,295.0,30.3394,404,2.7985,10.060048,3.5948
4199.225097655836,8043,280.0,30.3394,404,2.7985,10.060048,3.5948
4199.200097655836,8055,280.0,30.3394,404,2.7985,10.060048,3.5948
4199.175097655836,8031,320.0,30.3394,404,2.7985,10.060048,3.5948
4199.150097655835,8045,365.0,30.3394,404,2.7985,10.060048,3.5948
4199.125097655836,8058,300.0,30.006,404,2.7985,10.060048,3.5948
4199.100097655835,8067,360.0,30.006,404,2.7985,10.060048,3.5948
4199.075097655836,8070,325.0,30.006,404,2.7985,10.060048,3.5948
4199.050097655835,8047,325.0,30.006,404,2.7985,10.060048,3.5948
4199.025097655835,8067,340.0,30.006,404,2.7985,10.060048,3.5948
4199.000097655835,8070,355.0,30.006,404,2.7985,10.060048,3.5948
4198.975097655835,8049,325.0,30.006,404,2.7985,10.060048,3.5948
4198.950097655835,8085,280.0,30.006,404,2.7985,10.177026,3.6366
4198.925097655835,8035,345.0,30.006,404,2.7985,10.177026,3.6366
4198.9000976558345,8033,325.0,30.006,404,2.7985,10.177026,3.6366
4198.875097655835,8041,365.0,30.006,404,2.7985,10.177026,3.6366
4198.850097655834,8049,330.0,30.006,404,2.7985,10.177026,3.6366
4198.825097655835,8047,365.0,30.006,404,2.7985,10.177026,3.6366
4198.800097655834,8052,310.0,30.3394,404,2.7985,10.177026,3.6366
4198.7750976558345,8079,425.0,30.3394,404,2.7985,10.177026,3.6366
4198.750097655834,8043,385.0,30.3394,404,2.7985,10.177026,3.6366
4198.725097655834,8050,325.0,30.3394,404,2.7985,10.177026,3.6366
4198.700097655834,8036,360.0,30.3394,404,2.7985,10.177026,3.6366
4198.675097655834,8049,345.0,30.3394,404,2.7985,10.177026,3.6366
4198.650097655834,8056,305.0,30.3394,404,2.7985,10.177026,3.6366
4198.625097655834,8051,293.33334,30.3394,404,2.7985,10.177026,3.6366
4198.600097655833,8058,305.0,30.3394,404,2.7985,10.177026,3.6366
4198.575097655834,8078,350.0,30.3394,404,2.7985,10.177026,3.6366
4198.550097655833,8068,350.0,30.3394,404,2.7985,10.177026,3.6366
4198.525097655834,8070,250.0,30.3394,404,2.7985,10.177026,3.6366
4198.500097655833,8045,315.0,30.006,404,2.7985,10.177026,3.6366
4198.475097655833,8049,300.0,30.006,404,2.7985,10.177026,3.6366
4198.450097655833,8058,335.0,30.006,404,2.7985,10.177026,3.6366
4198.425097655833,8058,250.0,30.006,404,2.7985,10.177026,3.6366
