TDEP,TENS,MMRK,MINM,CS,ETIME,SPDCOR,MMRKT,STUCK,DVARC,GRU,EMIM,EMIAZ,ACXU,ACYU,ACZU,NTEMP,MGXU,MGYU,MGZU,EMMR,DLOD,PLOC,D4INC,GR,GRCO,ACCQ,ACCX,ACCY,ACCZ,MAGQ
4199.400097655836,-3116.0,0.0,0.0,7.762755,1.12377e+06,0,0.0,0.0,0.0,96.948204,227.0,252.9692,-0.08722999,0.011952099,0.9890447,79.20408,-0.5530381,-0.18963034,0.81933695,3.0958395,30942.209,0.0,0.0,102.66415,91.81315,1.0007217,-0.08663859,0.014200584,0.9952,1.0061592
4199.300097655836,-3116.0,0.0,0.0,7.7459183,1.12453e+06,0,0.0,0.0,0.0,109.95345,227.0,253.35147,-0.08743343,0.012969299,1.002777,79.19162,-0.5543331,-0.18606803,0.8194458,3.0947235,30942.209,0.0,0.0,104.717575,93.649536,1.0007701,-0.08651914,0.014642949,0.99782103,1.0062313
4199.200097655836,-3116.0,0.0,0.0,7.730102,1.1253e+06,0,0.0,0.0,0.0,103.253784,227.0,253.73282,-0.08661967,0.01291844,0.99728405,79.16958,-0.55562806,-0.18228982,0.8194458,3.0936074,30926.879,0.0,0.0,106.21806,94.99143,1.0007721,-0.08632634,0.015242623,0.99707824,1.0062938
4199.100097655835,-3116.0,0.0,0.0,7.711735,1.12607e+06,0,0.0,0.0,0.0,113.30329,227.0,254.11523,-0.08672139,0.012257259,1.0071509,79.16479,-0.5563835,-0.18013084,0.81933695,3.0958395,30942.209,0.0,0.0,108.728935,97.23692,1.0006362,-0.0861986,0.015957028,0.9966927,1.0063477
4199.000097655835,-3116.0,0.0,0.0,7.6908164,1.12684e+06,0,0.0,0.0,0.0,107.68739,227.0,254.47382,-0.086823106,0.01307102,0.99168944,79.131256,-0.55767846,-0.17613673,0.81933695,3.1003036,30942.209,0.0,0.0,109.05819,97.53137,1.0005518,-0.08602236,0.016771972,0.9963756,1.0063971
4198.9000976558345,-3116.0,0.0,0.0,7.6678576,1.12762e+06,0,0.0,0.0,0.0,115.7664,227.0,254.83472,-0.08661967,0.0139356395,0.99921674,79.16479,-0.55951303,-0.17095517,0.8192281,3.1003036,30934.543,0.0,0.0,109.62621,98.03936,1.0004505,-0.08579526,0.017621215,0.9964513,1.0064423
4198.800097655834,-3116.0,0.0,0.0,7.6535716,1.1284e+06,0,0.0,0.0,0.0,110.1505,227.0,255.192,-0.086517945,0.01480026,0.9737867,79.16575,-0.56026846,-0.16847235,0.8192281,3.1014197,30903.863,0.0,0.0,107.93471,96.52664,1.0002431,-0.08558828,0.0185296,0.9965129,1.0064839
4198.700097655834,-3116.0,0.0,0.0,7.6571426,1.12919e+06,0,0.0,0.0,0.0,107.78591,227.0,255.50403,-0.08595849,0.01530886,1.013254,79.152336,-0.5604843,-0.16804054,0.8192281,3.1003036,30934.543,0.0,0.0,105.552025,94.39579,1.0001642,-0.08532806,0.019376477,0.9974188,1.0065233
4198.600097655833,-3116.0,0.0,0.0,7.6867347,1.12997e+06,0,0.0,0.0,0.0,101.28329,227.0,255.82379,-0.08595849,0.015156279,1.0078629,79.14658,-0.5618872,-0.16361465,0.8192281,3.1036518,30942.209,0.0,0.0,103.252266,92.3391,1.0002192,-0.085067846,0.020277763,0.99572986,1.0065622
4198.500097655833,-3116.0,0.0,0.0,7.7285714,1.13074e+06,0,0.0,0.0,0.0,103.15526,227.0,256.21954,-0.08595849,0.01622434,0.9730747,79.173416,-0.5630743,-0.16091591,0.8192281,3.1058838,30888.512,0.0,0.0,102.14387,91.347855,1.0001963,-0.08477333,0.021188512,0.9946914,1.0065995
4198.400097655833,-3116.0,0.0,0.0,7.763776,1.13151e+06,0,0.0,0.0,0.0,104.928696,227.0,256.67664,-0.08595849,0.01683466,1.0127455,79.16766,-0.5636139,-0.15897283,0.8192281,3.1092317,30842.479,0.0,0.0,102.81746,91.95026,1.00015,-0.08448591,0.022055497,0.9962384,1.0066347
4198.300097655832,-3116.0,0.0,0.0,7.786735,1.13227e+06,0,0.0,0.0,0.0,98.91869,227.0,257.17752,-0.086009346,0.01739412,1.0063372,79.15712,-0.56620383,-0.15508667,0.8192281,3.115928,30827.127,0.0,0.0,104.5165,93.46972,1.0000857,-0.08413699,0.022927215,0.99530876,1.0066671
4198.200097655832,-3116.0,0.0,0.0,7.7964287,1.13303e+06,0,0.0,0.0,0.0,112.02247,227.0,257.71298,-0.08544989,0.020089699,0.9950462,79.20216,-0.5678226,-0.14288843,0.8192281,3.120392,30765.764,0.0,0.0,108.10813,96.68173,1.0000516,-0.08377032,0.023720868,0.9929834,1.0066979
4198.100097655832,-3116.0,0.0,0.0,7.804082,1.1338e+06,0,0.0,0.0,0.0,114.288536,227.0,258.25732,-0.08560247,0.02120862,0.99026537,79.20599,-0.5704126,-0.13371277,0.8192281,3.122624,30827.127,0.0,0.0,111.330284,99.563324,1.0001332,-0.08349473,0.024403337,0.9930615,1.006729
4198.000097655831,-3116.0,0.0,0.0,7.8071427,1.13456e+06,0,0.0,0.0,0.0,117.14575,227.0,258.7895,-0.08483957,0.021717219,1.0059303,79.21174,-0.5720313,-0.12777556,0.8191193,3.122624,30834.812,0.0,0.0,113.36361,101.38174,1.000276,-0.08321678,0.024947422,0.9938942,1.0067629
4197.900097655831,-3116.0,0.0,0.0,7.802041,1.13532e+06,0,0.0,0.0,0.0,121.776405,227.0,259.36035,-0.084381826,0.02278528,0.98711205,79.22803,-0.5738659,-0.119031705,0.8192281,3.120392,30811.797,0.0,0.0,114.22319,102.15047,1.000203,-0.08290807,0.025463117,0.9931703,1.0068002
4197.8000976558305,-3116.0,0.0,0.0,7.7918367,1.13609e+06,0,0.0,0.0,0.0,111.92394,227.0,259.95654,-0.08443269,0.023904199,0.9912826,79.22899,-0.5752688,-0.11320245,0.8191193,3.115928,30781.094,0.0,0.0,112.61462,100.71191,1.0001553,-0.08265732,0.025877096,0.994838,1.0068414
4197.70009765583,-3116.0,0.0,0.0,7.77602,1.13685e+06,0,0.0,0.0,0.0,114.38706,227.0,260.54138,-0.083771504,0.02481968,0.98823094,79.218445,-0.5759163,-0.111475274,0.8191193,3.119276,30712.045,0.0,0.0,110.52852,98.8463,1.0002522,-0.08242313,0.026262682,0.9948854,1.0068873
4197.60009765583,-3116.0,0.0,0.0,7.7591834,1.13762e+06,0,0.0,0.0,0.0,105.519844,227.0,261.10406,-0.08285603,0.02481968,0.9963686,79.19929,-0.57699543,-0.10575397,0.8191193,3.12374,30696.715,0.0,0.0,108.03524,96.61655,1.000082,-0.08216764,0.026605694,0.9955335,1.006938
4197.500097655829,-3116.0,0.0,0.0,7.7438774,1.13838e+06,0,0.0,0.0,0.0,104.633125,227.0,261.639,-0.083262905,0.025887739,0.97337985,79.19162,-0.57839835,-0.099277034,0.8191193,3.125972,30727.396,0.0,0.0,106.20801,94.98244,0.9996646,-0.081942916,0.027050423,0.9952733,1.0069916
4197.400097655829,-3116.0,0.0,1.0,7.728061,1.13917e+06,0,0.0,0.0,0.0,104.337555,227.0,262.08664,-0.082957745,0.02563344,0.99301183,79.193535,-0.57883,-0.09636241,0.8191193,3.124856,30704.379,0.0,0.0,104.8357,93.75518,0.99932384,-0.08148872,0.02726569,0.99656016,1.0070511
4197.300097655829,-3116.0,0.0,0.0,7.722449,1.13994e+06,0,0.0,0.0,0.0,100.98771,227.0,262.4674,-0.083110325,0.025887739,1.0089818,79.176285,-0.57839835,-0.09906114,0.81901044,3.128204,30627.666,0.0,0.0,102.8074,91.94126,0.9990558,-0.0811883,0.02790913,0.99590725,1.0071154
